title,url,year,critics_choice_nom,critics_choice_win,bafta_nom,bafta_win,golden_globes_nom,golden_globes_win,pga_nom,pga_win,sag_nom,sag_win,oscar_win,cast_row_count,maj_academy_awards_usa_noms,maj_academy_awards_usa_wins,maj_bafta_awards_noms,maj_bafta_awards_wins,maj_golden_globes_usa_noms,maj_golden_globes_usa_wins,maj_actor_awards_noms,maj_actor_awards_wins,maj_directors_guild_of_america_usa_noms,maj_directors_guild_of_america_usa_wins,maj_writers_guild_of_america_usa_noms,maj_writers_guild_of_america_usa_wins,maj_pga_awards_noms,maj_pga_awards_wins,maj_critics_choice_awards_noms,maj_critics_choice_awards_wins,maj_film_independent_spirit_awards_noms,maj_film_independent_spirit_awards_wins,maj_satellite_awards_noms,maj_satellite_awards_wins,grp_prediction_online_noms,grp_prediction_online_wins,grp_us_regional_critics_noms,grp_us_regional_critics_wins,grp_national_critics_noms,grp_national_critics_wins,grp_international_film_noms,grp_international_film_wins,grp_major_festival_noms,grp_major_festival_wins,grp_television_noms,grp_television_wins,grp_audience_pop_noms,grp_audience_pop_wins,grp_genre_noms,grp_genre_wins,grp_voice_or_animation_noms,grp_voice_or_animation_wins,grp_negative_noms,grp_negative_wins,grp_other_noms,grp_other_wins
Gravity,https://www.imdb.com/title/tt1454468/?ref_=ev_csegosc_nom,2014,1,0,1,0,1,0,1,1,0,0,0,7,9,2,7,1,9,4,10,2,1,0,1,1,1,1,7,5,1,0,9,1,34,7,63,33,17,11,7,2,4,16,18,5,11,9,6,4,0,0,7,3,46,42
Her,https://www.imdb.com/title/tt1798709/?ref_=ev_csegosc_nom,2014,1,0,0,0,0,0,1,0,0,0,0,91,12,1,9,1,10,1,7,1,1,0,1,1,1,0,5,4,2,3,8,1,73,13,130,53,45,19,11,2,12,28,32,6,24,10,13,9,5,1,1,0,103,55
Argo,https://www.imdb.com/title/tt1024648/?ref_=ev_csegosc_nom,2013,1,1,1,1,1,1,1,1,1,1,1,250,3,3,3,3,10,4,14,13,1,1,2,0,3,1,5,3,4,3,14,2,56,14,76,27,18,14,3,1,14,41,59,15,22,5,10,9,3,1,3,5,67,66
Amour,https://www.imdb.com/title/tt1602620/?ref_=ev_csegosc_nom,2013,0,0,1,1,0,0,0,0,0,0,0,14,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,1,10,4,11,4,14,5,0,38,3,0,0,0,1,2,0,0,0,0,14,37
Beasts of the Southern Wild,https://www.imdb.com/title/tt2125435/?ref_=ev_csegosc_nom,2013,1,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,10,3,17,9,2,3,1,0,0,2,4,1,3,1,3,0,0,0,0,0,5,6
Django Unchained,https://www.imdb.com/title/tt1853728/?ref_=ev_csegosc_nom,2013,1,0,0,0,1,0,1,0,0,0,0,151,8,5,6,5,16,6,18,5,2,0,1,0,0,0,3,3,8,4,13,3,53,21,89,61,31,37,13,4,14,62,28,13,47,10,29,13,0,0,8,3,113,126
Les Misérables,https://www.imdb.com/title/tt1707386/?ref_=ev_csegosc_nom,2013,1,0,1,0,0,0,1,0,1,0,0,260,7,2,5,5,8,4,19,1,0,0,1,0,0,0,9,5,1,0,9,16,46,18,88,42,28,30,12,14,0,12,46,9,24,3,17,6,2,0,3,1,43,44
Life of Pi,https://www.imdb.com/title/tt0454876/?ref_=ev_csegosc_nom,2013,1,0,1,0,1,0,1,0,0,0,0,43,1,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,1,2,2,7,1,8,16,4,1,1,0,0,1,0,0,3,0,35,30
Lincoln,https://www.imdb.com/title/tt0443272/?ref_=ev_csegosc_nom,2013,1,0,1,0,1,0,1,0,1,0,0,227,10,5,9,3,20,4,40,14,0,0,0,0,0,0,9,4,12,4,21,8,107,20,92,100,39,29,6,5,8,55,50,30,37,7,16,4,0,0,5,1,74,63
Silver Linings Playbook,https://www.imdb.com/title/tt1045658/?ref_=ev_csegosc_nom,2013,1,0,0,0,0,0,1,0,1,0,0,135,6,1,4,0,4,1,9,2,0,0,0,0,0,0,2,0,3,1,5,3,27,11,69,35,21,19,1,7,3,21,17,10,22,7,8,2,0,0,3,1,68,49
Zero Dark Thirty,https://www.imdb.com/title/tt1790885/?ref_=ev_csegosc_nom,2013,1,0,1,0,1,0,1,0,0,0,0,113,2,0,4,2,4,1,16,8,0,0,0,0,0,0,1,1,3,0,6,2,40,8,35,34,11,10,9,4,16,54,34,6,5,3,3,4,1,0,0,0,39,41
The Artist,https://www.imdb.com/title/tt1655442/?ref_=ev_csegosc_nom,2012,1,1,1,1,0,0,1,1,1,0,1,103,2,1,1,1,7,2,17,1,0,1,0,0,0,0,2,0,0,1,2,0,24,6,26,7,8,2,4,3,2,17,16,4,8,1,7,2,0,0,0,0,27,25
The Tree of Life,https://www.imdb.com/title/tt0478304/?ref_=ev_csegosc_nom,2012,1,0,0,0,0,0,0,0,0,0,0,58,4,2,6,0,7,1,3,2,1,0,1,0,0,1,3,3,4,2,7,1,31,6,55,52,15,19,3,0,7,25,4,5,6,1,7,2,0,0,8,1,42,42
The Descendants,https://www.imdb.com/title/tt1033575/?ref_=ev_csegosc_nom,2012,1,0,1,0,1,1,1,0,1,0,0,54,9,1,4,0,8,5,14,1,1,0,1,1,1,0,9,1,1,2,7,1,36,3,81,39,22,18,4,3,4,26,20,2,15,8,8,3,1,0,2,0,57,29
Extremely Loud & Incredibly Close,https://www.imdb.com/title/tt0477302/?ref_=ev_csegosc_nom,2012,1,0,0,0,0,0,0,0,0,0,0,68,6,3,4,0,10,3,7,2,0,0,0,0,0,3,0,4,3,0,7,1,19,7,39,20,16,8,1,3,2,20,20,4,17,7,9,2,0,0,6,4,41,62
The Help,https://www.imdb.com/title/tt1454029/?ref_=ev_csegosc_nom,2012,1,0,1,0,1,0,1,0,1,1,0,72,8,3,9,1,9,4,14,11,0,0,0,0,0,0,0,4,5,1,5,19,28,24,50,93,15,38,2,0,3,20,26,7,16,2,12,1,0,0,0,0,41,41
Hugo,https://www.imdb.com/title/tt0970179/?ref_=ev_csegosc_nom,2012,1,0,0,0,1,0,1,0,0,0,0,63,6,1,9,6,9,3,7,5,2,0,3,1,1,1,10,1,1,4,12,4,37,9,44,51,35,26,22,17,5,24,35,12,15,7,22,7,0,0,5,1,62,67
Midnight in Paris,https://www.imdb.com/title/tt1605783/?ref_=ev_csegosc_nom,2012,1,0,0,0,0,0,1,0,1,0,0,49,3,3,9,1,4,1,14,0,1,0,1,0,0,0,4,1,2,0,8,4,38,6,52,13,19,8,10,5,2,23,22,7,16,5,11,1,0,0,3,0,32,46
Moneyball,https://www.imdb.com/title/tt1210166/?ref_=ev_csegosc_nom,2012,1,0,0,0,1,0,1,0,0,0,0,188,5,1,6,1,10,1,8,1,1,0,0,0,0,0,6,1,5,5,10,1,37,4,46,39,15,20,4,0,10,20,18,7,20,6,10,6,0,0,5,1,43,39
War Horse,https://www.imdb.com/title/tt1568911/?ref_=ev_csegosc_nom,2012,1,0,0,0,1,0,1,0,0,0,0,99,2,0,8,1,4,0,2,1,0,0,0,0,0,0,1,1,1,1,2,0,15,2,13,10,17,13,25,12,2,39,20,14,1,0,9,1,0,0,1,0,29,24
The King's Speech,https://www.imdb.com/title/tt1504320/?ref_=ev_csegosc_nom,2011,1,0,1,1,1,0,1,1,1,1,1,66,6,2,13,15,9,3,6,13,0,0,0,0,0,0,7,5,1,0,13,5,26,11,60,40,25,18,19,14,0,25,23,12,6,0,16,3,0,0,2,0,33,27
127 Hours,https://www.imdb.com/title/tt1542344/?ref_=ev_csegosc_nom,2011,1,0,0,0,0,0,1,0,0,0,0,41,2,0,1,0,6,1,5,0,0,0,0,0,1,0,2,1,2,2,6,0,11,3,14,6,2,0,1,0,6,3,12,2,11,0,4,1,0,0,1,0,12,7
Black Swan,https://www.imdb.com/title/tt0947798/?ref_=ev_csegosc_nom,2011,1,0,1,0,1,0,1,0,1,0,0,63,4,1,4,1,5,4,6,1,0,0,0,0,0,0,3,1,1,1,5,0,22,7,26,22,9,8,3,1,0,10,17,2,21,4,12,7,0,0,10,0,34,40
The Fighter,https://www.imdb.com/title/tt0964517/?ref_=ev_csegosc_nom,2011,1,0,0,0,1,0,1,0,1,0,0,206,5,2,1,1,2,2,9,2,0,0,0,0,1,0,2,1,1,3,5,2,30,8,44,47,22,20,4,1,1,10,19,3,7,3,11,4,0,0,2,0,28,21
Inception,https://www.imdb.com/title/tt1375666/?ref_=ev_csegosc_nom,2011,1,0,1,0,1,0,1,0,0,0,0,87,7,3,12,3,9,3,9,1,0,0,0,0,0,0,6,0,1,1,8,4,43,9,68,27,32,17,15,6,1,27,19,4,24,10,24,5,0,0,5,1,50,56
The Kids Are All Right,https://www.imdb.com/title/tt0842926/?ref_=ev_csegosc_nom,2011,0,0,0,0,0,0,1,0,1,0,0,21,10,0,7,1,3,1,10,0,0,0,1,0,0,0,4,1,6,2,4,1,24,6,71,16,34,20,5,1,1,18,9,4,13,4,18,1,0,0,2,1,18,27
The Social Network,https://www.imdb.com/title/tt1285016/?ref_=ev_csegosc_nom,2011,1,1,1,0,1,1,1,0,1,0,0,195,1,1,4,2,2,1,8,0,0,0,0,0,3,2,4,0,1,0,3,0,36,12,56,41,21,13,2,1,0,25,21,8,30,7,3,2,0,0,1,0,30,43
Toy Story 3,https://www.imdb.com/title/tt0435761/?ref_=ev_csegosc_nom,2011,1,0,0,0,0,0,1,0,0,0,0,59,11,4,6,2,14,3,8,0,0,0,0,0,2,3,2,1,0,1,7,1,22,1,15,13,17,11,2,1,2,8,50,7,28,15,12,6,0,0,9,3,75,67
True Grit,https://www.imdb.com/title/tt1403865/?ref_=ev_csegosc_nom,2011,1,0,1,0,0,0,1,0,0,0,0,55,7,2,3,0,4,1,16,2,0,0,1,0,2,0,8,3,3,2,8,1,22,5,59,17,20,8,1,1,1,9,18,2,11,3,8,1,0,0,2,1,25,25
Winter's Bone,https://www.imdb.com/title/tt1399683/?ref_=ev_csegosc_nom,2011,1,0,0,0,0,0,0,0,0,0,0,32,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,2,3,0,8,4,34,14,7,3,1,0,1,15,3,0,3,1,7,1,0,0,0,0,13,9
The Hurt Locker,https://www.imdb.com/title/tt0887912/?ref_=ev_csegosc_nom,2010,1,1,1,1,1,0,1,1,1,0,1,39,3,0,3,0,3,0,11,1,0,0,0,0,0,0,1,0,5,0,5,1,36,5,28,7,10,16,8,3,1,7,18,0,7,0,13,3,0,0,4,0,21,16
A Serious Man,https://www.imdb.com/title/tt1019452/?ref_=ev_csegosc_nom,2010,1,0,0,0,0,0,0,0,0,0,0,76,1,0,0,0,2,0,8,0,1,0,0,0,0,0,0,0,0,6,0,1,4,0,2,0,10,1,0,0,0,2,7,5,2,0,0,0,0,0,0,0,11,2
An Education,https://www.imdb.com/title/tt1174732/?ref_=ev_csegosc_nom,2010,1,0,1,0,0,0,1,0,1,0,0,34,4,2,5,2,4,1,16,0,0,0,0,1,0,0,6,1,4,0,12,1,30,5,29,26,22,19,18,10,0,11,14,4,4,0,10,1,0,0,0,0,18,27
Avatar,https://www.imdb.com/title/tt0499549/?ref_=ev_csegosc_nom,2010,1,0,1,0,1,1,1,0,0,0,0,152,3,0,2,1,3,1,6,2,0,0,0,0,0,0,0,0,1,1,4,2,12,0,9,3,3,2,2,4,3,11,24,3,22,2,14,7,0,0,7,1,23,25
District 9,https://www.imdb.com/title/tt1136608/?ref_=ev_csegosc_nom,2010,0,0,0,0,0,0,1,0,0,0,0,99,2,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,10,0,4,5,3,2,2,0,0,0,7,4,2,0,7,1,0,0,0,0,8,6
Inglourious Basterds,https://www.imdb.com/title/tt0361748/?ref_=ev_csegosc_nom,2010,1,0,0,0,1,0,1,0,1,1,0,84,4,1,2,3,7,1,5,16,2,0,4,0,0,0,2,1,4,5,7,1,21,53,36,86,15,24,15,7,11,55,19,15,35,5,26,10,0,0,15,4,101,128
Precious,https://www.imdb.com/title/tt0929632/?ref_=ev_csegosc_nom,2010,1,0,1,0,1,0,1,0,1,0,0,66,1,2,1,1,3,3,7,2,0,0,0,0,0,0,1,1,0,2,0,2,13,7,12,24,13,19,0,0,0,6,17,5,42,22,0,2,0,0,5,3,53,41
The Blind Side,https://www.imdb.com/title/tt0878804/?ref_=ev_csegosc_nom,2010,0,0,0,0,0,0,0,0,0,0,0,134,2,3,2,0,4,1,2,2,1,0,0,0,0,0,3,3,2,0,3,1,6,3,15,7,7,2,0,0,1,16,4,1,13,6,4,1,0,0,7,3,13,30
Up,https://www.imdb.com/title/tt1049413/?ref_=ev_csegosc_nom,2010,1,0,0,0,0,0,1,0,0,0,0,33,5,1,3,1,5,2,5,2,0,0,0,0,0,0,2,0,1,0,4,1,16,1,10,5,12,5,0,0,0,5,22,6,3,1,4,0,0,0,0,0,46,32
Up in the Air,https://www.imdb.com/title/tt1193138/?ref_=ev_csegosc_nom,2010,1,0,1,0,1,0,1,0,0,0,0,138,4,0,4,0,4,1,9,0,1,0,2,1,0,0,9,1,4,0,5,4,41,1,61,25,30,10,4,2,2,8,18,6,11,2,5,2,0,0,1,0,36,22
Slumdog Millionaire,https://www.imdb.com/title/tt1010048/?ref_=ev_csegosc_nom,2009,1,1,1,1,1,1,1,1,1,1,1,90,0,0,2,0,0,0,1,11,0,0,0,0,0,0,0,1,1,0,0,0,2,0,11,3,3,2,3,1,0,6,6,2,8,9,1,0,0,0,0,0,49,34
The Curious Case of Benjamin Button,https://www.imdb.com/title/tt0421715/?ref_=ev_csegosc_nom,2009,1,0,1,0,1,0,1,0,1,1,0,149,3,1,4,1,4,0,11,0,0,0,0,0,0,0,8,0,2,2,4,2,22,3,36,31,19,6,8,7,0,15,8,1,11,1,14,5,0,0,6,1,26,42
Frost/Nixon,https://www.imdb.com/title/tt0870111/?ref_=ev_csegosc_nom,2009,1,0,1,0,1,0,1,0,1,0,0,110,2,0,6,0,6,1,14,1,0,0,0,0,0,0,2,1,2,0,8,0,14,4,15,8,17,5,3,2,0,15,32,10,10,1,6,0,0,0,0,0,13,30
Milk,https://www.imdb.com/title/tt1013753/?ref_=ev_csegosc_nom,2009,1,0,1,0,0,0,1,0,1,0,0,166,4,3,4,0,4,4,16,2,1,0,2,2,0,0,7,9,2,4,6,2,44,6,36,20,14,14,2,0,4,19,26,7,23,5,8,4,0,0,2,3,44,43
The Reader,https://www.imdb.com/title/tt0976051/?ref_=ev_csegosc_nom,2009,1,0,1,0,1,0,0,0,0,0,0,64,6,1,4,0,3,0,4,1,0,0,0,0,0,0,3,1,0,0,4,0,11,7,16,14,15,11,12,11,3,24,21,12,10,2,5,2,0,0,4,0,44,53
No Country for Old Men,https://www.imdb.com/title/tt0477348/?ref_=ev_csegosc_nom,2008,1,1,1,0,1,0,1,1,1,1,1,54,5,2,4,1,6,2,4,7,0,0,0,0,0,0,7,2,3,1,7,2,17,14,20,23,8,18,4,2,1,19,21,7,6,0,3,1,0,0,4,1,20,37
Atonement,https://www.imdb.com/title/tt0783233/?ref_=ev_csegosc_nom,2008,1,0,1,1,1,1,0,0,0,0,0,86,10,2,14,4,15,2,5,1,0,1,3,0,0,0,2,2,1,0,14,1,28,2,15,7,29,16,29,6,4,16,18,11,6,5,5,0,0,0,0,0,45,41
Juno,https://www.imdb.com/title/tt0467406/?ref_=ev_csegosc_nom,2008,1,0,0,0,0,0,1,0,0,0,0,43,1,0,2,0,6,2,6,1,0,0,0,0,0,0,11,1,1,1,5,4,22,5,10,20,4,2,1,0,0,4,23,6,25,7,13,4,0,0,0,0,21,27
Michael Clayton,https://www.imdb.com/title/tt0465538/?ref_=ev_csegosc_nom,2008,1,0,0,0,1,0,1,0,0,0,0,74,9,3,12,3,8,0,7,1,5,0,5,1,2,0,5,0,3,1,7,4,23,0,45,17,22,12,6,2,14,31,24,6,4,1,8,2,0,0,2,0,43,32
There Will Be Blood,https://www.imdb.com/title/tt0469494/?ref_=ev_csegosc_nom,2008,1,0,1,0,1,0,1,0,0,0,0,60,2,1,2,2,1,1,0,3,0,0,1,0,0,0,0,3,1,1,0,1,7,7,7,28,7,13,3,3,0,8,4,2,1,0,1,2,0,0,0,0,4,9
The Departed,https://www.imdb.com/title/tt0407887/?ref_=ev_csegosc_nom,2007,1,1,1,0,1,0,1,0,1,0,1,159,7,2,7,3,7,4,16,1,0,2,1,0,3,0,11,2,2,0,10,10,37,7,31,32,34,41,7,3,3,21,24,13,23,5,10,2,0,0,7,1,42,48
Babel,https://www.imdb.com/title/tt0449467/?ref_=ev_csegosc_nom,2007,1,0,1,0,1,1,1,0,1,1,0,199,2,0,2,0,3,0,7,1,0,0,0,0,0,0,6,0,0,0,4,0,21,5,23,29,14,5,5,4,1,25,7,1,8,4,11,3,0,0,5,1,28,50
Letters from Iwo Jima,https://www.imdb.com/title/tt0498380/?ref_=ev_csegosc_nom,2007,1,0,0,0,0,0,0,0,0,0,0,63,1,0,0,0,1,0,4,2,0,0,0,0,0,0,1,0,0,1,1,0,4,0,3,0,1,0,0,0,2,2,1,0,2,0,1,0,0,0,0,0,5,13
Little Miss Sunshine,https://www.imdb.com/title/tt0449059/?ref_=ev_csegosc_nom,2007,1,0,1,0,0,0,1,1,1,1,0,53,6,1,4,1,6,0,5,4,0,0,1,2,0,1,2,2,2,3,6,0,20,13,26,20,8,6,4,0,0,6,14,4,7,2,4,2,0,0,2,0,27,15
The Queen,https://www.imdb.com/title/tt0436697/?ref_=ev_csegosc_nom,2007,1,0,1,1,1,0,1,0,0,0,0,66,11,5,15,6,8,4,11,1,1,1,3,0,1,1,2,3,0,0,5,2,24,10,29,40,29,35,23,9,4,21,27,25,28,19,10,4,0,0,11,4,64,135
Crash,https://www.imdb.com/title/tt0375679/?ref_=ev_csegosc_nom,2006,1,0,1,0,0,0,1,0,1,1,1,54,4,0,3,1,9,0,8,14,0,0,0,0,0,0,5,13,4,3,5,3,19,30,16,10,12,8,2,1,1,9,18,7,46,9,3,1,0,0,9,1,56,44
Brokeback Mountain,https://www.imdb.com/title/tt0388795/?ref_=ev_csegosc_nom,2006,1,1,1,1,1,1,1,1,1,0,0,65,5,0,5,1,3,1,8,0,0,0,0,0,0,0,2,0,3,0,1,1,14,5,30,14,11,3,2,2,0,3,12,6,15,1,5,1,0,0,4,0,27,16
Capote,https://www.imdb.com/title/tt0379725/?ref_=ev_csegosc_nom,2006,1,0,1,0,0,0,1,0,1,0,0,77,3,2,2,2,1,2,11,3,0,0,0,0,0,0,1,2,6,1,6,4,24,2,17,34,12,18,1,0,2,7,5,3,3,0,5,6,0,0,0,0,14,5
"Good Night, and Good Luck.",https://www.imdb.com/title/tt0433383/?ref_=ev_csegosc_nom,2006,1,0,1,0,1,0,1,0,1,0,0,46,5,0,5,2,8,2,22,1,1,0,3,2,1,1,4,0,10,1,8,3,38,1,28,17,15,10,1,1,6,23,17,6,1,5,13,7,0,0,3,0,30,22
Munich,https://www.imdb.com/title/tt0408306/?ref_=ev_csegosc_nom,2006,1,0,0,0,0,0,0,0,0,0,0,150,2,1,3,2,2,1,2,1,0,0,0,0,0,0,1,1,0,0,3,1,6,2,10,11,7,5,20,6,12,42,9,14,1,0,5,0,0,0,0,0,30,56
Million Dollar Baby,https://www.imdb.com/title/tt0405159/?ref_=ev_csegosc_nom,2005,1,0,0,0,1,0,1,0,1,0,1,91,4,4,3,0,3,4,7,3,1,2,0,0,2,0,1,2,1,2,2,2,25,3,18,27,20,20,4,4,1,21,10,4,11,3,3,2,0,0,1,0,32,48
The Aviator,https://www.imdb.com/title/tt0338751/?ref_=ev_csegosc_nom,2005,1,0,1,1,1,1,1,1,1,1,0,117,12,1,13,2,8,3,17,5,1,4,5,3,1,0,4,2,5,3,5,4,34,9,24,32,35,23,11,6,4,24,38,4,23,11,17,4,0,0,11,1,42,68
Finding Neverland,https://www.imdb.com/title/tt0308644/?ref_=ev_csegosc_nom,2005,1,0,1,0,1,0,1,0,1,0,0,66,9,3,10,2,5,2,12,1,1,0,0,0,0,0,5,1,2,2,4,2,9,3,14,8,14,15,9,13,4,15,11,6,12,10,11,1,0,0,2,0,33,35
Ray,https://www.imdb.com/title/tt0350258/?ref_=ev_csegosc_nom,2005,1,0,0,0,0,0,0,0,1,0,0,95,1,1,1,1,2,1,12,2,0,0,0,0,0,0,1,1,3,0,4,5,10,3,6,15,9,10,0,0,1,5,12,4,23,5,2,1,0,0,1,0,19,18
Sideways,https://www.imdb.com/title/tt0375063/?ref_=ev_csegosc_nom,2005,1,1,0,0,0,0,1,0,1,1,0,39,2,0,0,0,2,0,2,2,0,0,0,0,0,0,1,5,1,3,3,1,23,4,16,33,10,17,0,0,0,4,2,3,2,0,3,4,0,0,0,0,6,10
The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/?ref_=ev_csegosc_nom,2004,1,1,1,1,1,1,1,1,1,1,1,159,7,10,18,5,4,5,30,19,3,1,3,0,0,1,1,21,0,1,16,2,57,71,62,103,33,57,28,18,11,19,33,29,22,4,33,15,0,0,4,1,69,88
Lost in Translation,https://www.imdb.com/title/tt0335266/?ref_=ev_csegosc_nom,2004,1,0,1,0,0,0,0,0,0,0,0,52,1,0,1,2,2,1,2,0,0,0,0,0,0,0,1,0,2,2,1,1,10,4,14,8,8,11,1,0,0,3,12,3,10,3,7,2,0,0,1,0,7,11
Master and Commander: The Far Side of the World,https://www.imdb.com/title/tt0311113/?ref_=ev_csegosc_nom,2004,1,0,1,0,1,0,1,0,0,0,0,28,2,1,4,1,2,1,3,1,0,0,0,0,0,0,2,3,0,0,2,0,8,4,13,8,9,8,2,5,0,1,7,0,1,2,1,1,0,0,0,0,4,4
Mystic River,https://www.imdb.com/title/tt0327056/?ref_=ev_csegosc_nom,2004,1,0,0,0,1,0,1,0,1,0,0,100,6,3,5,1,6,4,7,2,0,0,0,0,1,1,2,2,5,2,3,0,30,2,23,20,19,17,2,0,8,31,6,4,11,3,7,1,0,0,2,0,16,13
Seabiscuit,https://www.imdb.com/title/tt0329575/?ref_=ev_csegosc_nom,2004,1,0,0,0,1,0,1,0,1,0,0,93,7,1,1,0,3,1,7,0,1,0,4,1,1,1,1,1,4,2,7,1,9,5,9,15,6,8,0,0,0,10,8,6,5,0,7,3,0,0,0,1,18,10
Chicago,https://www.imdb.com/title/tt0299658/?ref_=ev_csegosc_nom,2003,1,1,1,0,0,0,1,1,0,0,1,121,4,1,3,1,8,2,9,19,0,0,0,0,0,0,2,15,5,0,6,1,41,7,31,6,8,2,2,2,1,5,20,11,23,13,4,0,0,0,10,0,32,21
Gangs of New York,https://www.imdb.com/title/tt0217505/?ref_=ev_csegosc_nom,2003,1,0,1,0,1,0,1,0,0,0,0,182,4,1,7,2,12,1,11,2,0,2,2,1,0,0,3,2,3,2,7,3,26,4,16,20,24,24,6,5,5,26,12,4,10,7,8,2,0,0,1,2,22,43
The Hours,https://www.imdb.com/title/tt0274558/?ref_=ev_csegosc_nom,2003,1,0,1,0,1,1,0,0,0,0,0,28,13,1,12,2,9,2,11,2,0,0,0,0,0,0,6,4,5,1,7,3,21,16,44,35,21,28,6,7,1,16,18,9,15,7,19,5,0,0,1,0,26,41
The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/?ref_=ev_csegosc_nom,2003,1,0,1,0,1,0,1,0,1,1,0,162,10,0,7,1,4,2,29,1,3,0,2,0,2,0,1,2,0,1,8,1,45,42,25,60,15,46,17,16,6,11,23,16,20,3,17,12,0,0,4,1,48,47
The Pianist,https://www.imdb.com/title/tt0253474/?ref_=ev_csegosc_nom,2003,1,0,1,1,1,0,0,0,0,0,0,98,1,1,6,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,4,0,1,2,2,1,1,11,1,1,0,0,1,0,0,0,0,0,15,7
A Beautiful Mind,https://www.imdb.com/title/tt0268978/?ref_=ev_csegosc_nom,2002,1,1,1,0,1,1,1,0,0,0,1,120,6,4,4,2,10,5,11,0,1,2,0,0,0,0,1,5,1,0,5,1,18,4,22,15,12,12,2,3,2,3,15,5,3,2,9,2,0,0,0,0,21,15
Gosford Park,https://www.imdb.com/title/tt0280707/?ref_=ev_csegosc_nom,2002,0,0,0,0,0,0,0,0,0,0,0,61,10,2,17,9,9,0,3,16,0,0,0,0,0,0,0,20,1,0,3,18,25,0,28,25,17,30,5,14,2,18,8,7,11,0,13,1,0,0,5,0,15,11
In the Bedroom,https://www.imdb.com/title/tt0247425/?ref_=ev_csegosc_nom,2002,1,0,0,0,1,0,0,0,0,0,0,83,6,2,7,1,3,2,10,0,0,0,0,0,0,0,1,1,2,2,3,2,7,1,12,9,9,10,0,0,0,4,10,3,5,0,7,2,0,0,1,0,12,7
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/?ref_=ev_csegosc_nom,2002,1,0,1,1,1,0,1,0,1,1,0,156,4,1,7,2,3,1,14,1,2,0,2,0,0,0,1,1,0,1,6,0,18,19,14,36,12,11,9,11,11,16,19,21,17,3,17,9,0,0,4,1,16,30
Moulin Rouge!,https://www.imdb.com/title/tt0203009/?ref_=ev_csegosc_nom,2002,1,0,1,0,0,0,1,1,0,0,0,137,2,1,4,0,2,1,7,0,0,0,0,0,0,0,1,0,0,0,1,2,15,2,15,4,6,9,20,10,0,7,19,10,11,7,4,3,0,0,2,0,25,37
Gladiator,https://www.imdb.com/title/tt0172495/?ref_=ev_csegosc_nom,2001,1,1,1,1,1,1,1,1,0,0,1,70,4,1,8,2,4,1,8,0,0,0,0,0,0,0,0,2,0,0,3,0,6,1,14,5,7,7,1,8,2,9,10,3,13,5,3,1,0,0,1,0,12,10
Chocolat,https://www.imdb.com/title/tt0241303/?ref_=ev_csegosc_nom,2001,0,0,0,0,0,0,0,0,0,0,0,35,4,1,3,3,6,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,5,6,5,1,4,2,9,5,3,4,3,6,2,0,0,2,0,8,21
"Crouching Tiger, Hidden Dragon",https://www.imdb.com/title/tt0190332/?ref_=ev_csegosc_nom,2001,1,0,1,1,0,0,1,0,0,0,0,31,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,0,3,3,2,0,0,0,4,8,3,4,5,1,5,0,0,0,1,0,16,9
Erin Brockovich,https://www.imdb.com/title/tt0195685/?ref_=ev_csegosc_nom,2001,1,0,1,0,1,0,1,0,0,0,0,59,9,1,5,2,4,0,0,3,0,0,0,0,1,0,0,0,1,1,3,1,2,0,7,2,6,11,1,1,0,4,18,8,9,5,5,1,0,0,3,0,10,15
Traffic,https://www.imdb.com/title/tt0181865/?ref_=ev_csegosc_nom,2001,1,0,0,0,1,0,0,0,0,0,0,150,7,3,4,2,11,2,7,19,0,0,0,0,0,0,1,0,1,3,3,1,1,4,14,14,10,15,0,3,0,9,16,5,18,6,7,1,0,0,15,1,29,32
American Beauty,https://www.imdb.com/title/tt0169547/?ref_=ev_csegosc_nom,2000,1,1,1,1,1,1,1,1,1,1,1,45,2,3,5,3,2,3,0,4,0,0,0,0,0,1,0,1,2,0,1,0,11,4,8,13,9,12,0,2,0,9,13,10,17,2,5,4,0,0,3,2,3,19
The Cider House Rules,https://www.imdb.com/title/tt0124315/?ref_=ev_csegosc_nom,2000,1,0,0,0,0,0,1,0,1,0,0,37,7,3,5,2,9,2,13,2,0,0,1,0,0,0,0,0,1,0,6,2,1,0,4,2,8,7,1,3,0,2,13,5,8,1,1,1,0,0,2,0,15,12
