award_show,count
Trophees Francophones du Cinema,7
Vail Film Festival,7
Vancouver Horror Show,7
Venice Short Film Festival,7
Venice Shorts,7
Viareggio EuropaCinema,7
Vienna International Film Awards (VIFA),7
World Premiere Film Awards,7
24fps International Short Film Festival,6
Aladerri International Film Festival,6
Almeria Western Film Festival,6
American Golden Picture International Film Festival,6
Amsterdam International Filmmaker Festival,6
Andromeda Film Festival,6
Art Film Festival,6
Association of Polish Filmmakers Critics Awards,6
Austin Fantastic Fest,6
BFI London Film Festival,6
BIFEST - Bari International Film Festival,6
Barcelona Planet Film Festival,6
Berlin International Art Film Festival,6
Best Actors Film Festival,6
Bilbao Seriesland Festival,6
Billboard Women In Music,6
Bollywood Hungama Style Icons Awards,6
Buenos Aires International Festival of Independent Cinema,6
Buffalo Niagara Film Festival,6
Cairo International Film Festival,6
Cartagena Film Festival,6
Chain NYC Film Festival,6
Champs-Élysées Film Festival,6
Chandler International Film Festival,6
Chicago Indie Film Awards,6
CinefestOz,6
Clio Awards,6
Direct Monthly Online Film Festival,6
Documentaries Without Borders International Film Festival,6
Dreams Come True Film Festival,6
FEST International Film Festival,6
Fade In Awards,6
Festival of Cinema NYC,6
"Film Fest International, Berlin",6
"Film Fest International, Nice",6
Filmfare Awards Marathi,6
Gold Star Movie Awards,6
GoldSpirit Awards,6
Golden Reel International Film Festival,6
Golden Unicorn Awards,6
Golden Wheat Awards,6
Gulf Coast Film & Video Festival,6
Göteborg Film Festival,6
"HELLO! Hall of Fame Awards, India",6
Harper's Bazaar Women of the Year Awards,6
Havana Film Festival,6
Hellenic Film Academy Awards,6
Hollywood North Film Awards,6
"Hollywood Post Alliance, US",6
Hong Kong Film Critics Society Awards,6
Horrible Imaginings Film Festival,6
Il Festival Nazionale del Doppiaggio Voci nell'Ombra,6
IndieX Film Fest,6
International Academy of Web Television Awards,6
Joseph Plateau Awards,6
KOFRA Film Awards,6
LA Shorts International Film Festival,6
Las Vegas International Film Festival,6
"LesGaiCineMad, Madrid International LGBT Film Festival",6
"Lionshead Film Festival, Dallas",6
"London Short Film Festival, UK",6
Love Wins Film Festival,6
MAGMA Festival Internacional de Cinema Independiente,6
Malibu Film Festival,6
Manchester International Film Festival (MANIFF),6
Mannheim-Heidelberg International Filmfestival,6
Max Ophüls Festival,6
Media Access Awards,6
Meus Prêmios Nick,6
Miami Brazilian Film Festival,6
Monte-Carlo Comedy Film Festival,6
Music Video Production Association (MVPA) Awards,6
NME Awards,6
National Film Society Awards,6
New Creators Film Awards,6
New York Indian Film Festival,6
New York Neorealism Film Awards,6
Newport Beach TV Fest,6
News18 REEL Movie Award,6
Nosotros Golden Eagle Awards,6
"Oaxaca FilmFest, MX",6
Olympus Film Festival,6
Palm Beach International Film Festival,6
Paris Film Critics Awards,6
Philadelphia FirstGlance Film Festival,6
Prague Independent Film Festival,6
Premio Lo Nuestro,6
Recife Cine PE Audiovisual Festival,6
Reel East Texas Film Festival,6
Richard Harris International Film Festival,6
San Diego Short Film Festival,6
Sanctuary Cove International Film Festival,6
Series Mania,6
Sherman Oaks Film Festival,6
Show Me Shorts Film Festival,6
Skiptown Playhouse International Film Festival,6
Sonoma International Film Festival,6
Southern California Motion Picture Council Awards,6
Stanley Film Awards,6
Stockholm City Film Festival,6
Sydney Film Festival,6
Tamizhagam International Film Festival,6
Television and Radio Industries Club Awards,6
The Guardian's Best Films,6
The Taste Awards,6
Toronto Independent Festival of CIFT,6
Trail Dance Film Festival,6
Twister Alley International Film Festival,6
UK Film Awards,6
Uruvatti International Film Festival,6
"WRPN Short, Tight & Loose Film Festival Competition",6
Williamsburg Brooklyn Film Festival,6
AFIN International Film Festival,5
Accord Cine Fest,5
Acteurs à l'Écran,5
African Movie Academy Awards,5
"American Choreography Awards, USA",5
Annual Soompi Awards,5
Arpa International Film Festival,5
Arrow International Film Festival,5
Arthouse Festival of Beverly Hills,5
Asia Artist Awards,5
Association of Motion Picture Sound (AMPS),5
Austin After Dark Film Festival,5
Avalonia Festival,5
Baja International Film Festival,5
Bangkok Movie Awards,5
Berlin Flash Film Festival,5
Best Global Shorts,5
Birmingham Film Festival,5
Black Swan International Film Festival,5
Bombay International Film Festival,5
Branson International Film Festival,5
"Bridge Fest, Vancouver",5
British Animation Awards,5
Buenos Aires International Film Festival,5
Busan International Film Festival,5
California on Location Awards,5
Cape Fear Independent Film Festival,5
"Cinema Diverse, US",5
Clarion Awards,5
Columbia Maryland Film Festival,5
Crystal Reel Awards,5
Cyrus International Film Festival of Toronto,5
Days of the Dead Film Festival,5
Directors Guild of Great Britain,5
"Domestic TV series Ceremony, China",5
Dumbo Film Festival,5
East Europe International Film Festival,5
Eastern Europe International Movie Awards,5
"Ethnic Multicultural Media Awards, UK",5
Europe Film Festival U.K. (EFFUK),5
Europe Music Video Awards,5
FICE - Federazione Italiana Cinema d'Essai,5
Falcon International Film Festival (FIFF),5
Fargo Film Festival,5
"Feroz Awards, ES",5
Festival International du Film Fantastique de Menton,5
Festival del Cinema Europeo,5
Film Invasion L.A.,5
Flaiano Film Festival,5
Flickers' Rhode Island International Film Festival,5
Florida Shorts,5
Fortean Film Festival,5
"Fright Night Film Festival, US",5
"GQ Awards, India",5
Garoa Awards,5
Gaudí Awards,5
Glitter Awards,5
Global Film Awards,5
Gold Movie Awards,5
Golden Bridge İstanbul Short Film Festival,5
Günter Strack TV Award,5
"Hamilton Film Festival, CA",5
"Hill Country Film Festival, US",5
Hitlist OTT Awards,5
"Hollywood & Vine Film Festival, US",5
Hollywood Film Festival,5
Hollywood Screenplay Contest,5
"Honolulu Film Awards, US",5
Horror Movie Freaks Film Festival,5
ITVFest,5
Independent Film Awards,5
Independent Television and Film Festival,5
Indie Shorts Awards Cannes,5
International Celebration of Cinema,5
International Cinematographers' Film Festival Manaki Brothers,5
International Motion Picture Awards,5
Jaipur International Film Festival,5
Kidscreen Awards,5
"Kineo Awards, Italy",5
L' Age d'Or International Arthouse Film Festival,5
Lagniappe Film and Music Festival,5
Latin American Music Awards,5
LifeArt Festival,5
"Lift-Off Global Network, London",5
London International Advertising Awards,5
Los Angeles CineFest,5
Masala! Awards,5
Melbourne Independent Filmmakers Festival,5
Miami Independent Film Festival,5
"Mirchi Music Awards, IN",5
Munich Music Video Awards,5
NYC Indie Film Awards,5
Naperville Independent Film Festival,5
National Academy of Television Arts & Sciences - Heartland Chapter,5
New York Istanbul Short Film Festival,5
Niagara Falls International Short Festival,5
Nice International Film Festival,5
Northern Ontario Music and Film Awards,5
Ondas Awards,5
Oregon Scream Week,5
Pacific Southwest Emmy Awards,5
Prince of Prestige Academy Award,5
Prison City Film Festival,5
Prix Louis Delluc,5
Pure Magic International Film Festival,5
RTL Golden Lion Awards,5
Romford Film Festival,5
Roosevelt Island Film Festival,5
SACD Awards,5
SBS Drama Awards,5
Salt House Creative International Film Festival,5
San Diego Film Week,5
San Diego Movie Awards,5
Schermi d’Amore - Verona Film Festival,5
Screamfest,5
Short to the Point International Film Festival,5
Sichuan TV Festival,5
"Snake Alley Festival of Film, US",5
SoCal Independent Film Festival,5
Social World Film Festival,5
Something Wicked Film Festival,5
Spotlight International Film Festival,5
Stony Brook Film Festival,5
"Sunscreen Film Festival, US",5
Texas Ultimate Shorts,5
"The 48 Hour Film Project, Los Angeles - Horror Comedy",5
The Black Panther International Short Film Festival,5
The Casting Directors' Guild Awards,5
The Cutting Room International Short Film Festival,5
The Game Awards,5
The Gladiator Film Festival,5
The Independent Video Film Festival of Youtube Art Club Pavlos Paraschakis,5
The Triborough Film Festival,5
TheWIFTS Foundation International Visionary Awards,5
Traverse City Film Festival,5
UK Film Festival London,5
Valenciennes International Festival of Action and Adventure Films,5
Venice Film Awards,5
Venice TV Award,5
Walla Walla Movie Crush,5
Western Writers of America,5
Women in Film Lucy Awards,5
"Women in Film and TV Awards, UK",5
Women's Only Entertainment Film Festival,5
World Cinema Awards,5
iHeartRadio Podcast Awards,5
4 Theatre Selection,4
"48 Film Competition, Los Angeles",4
Aasha International film Festival,4
Abraccine Prize (Brazilian Association of Film Critic Annual Prize),4
Adirondack Film Festival,4
American Cinematheque Tribute to the Crafts,4
American Psychological Association (APA) Film Festival,4
Arab Indo Bollywood Awards,4
Artemis Women in Action Film Festival,4
Asia Web Awards,4
Aurora Awards,4
Austin Comedy Short Film Festival,4
Australian Cinematographers Society,4
Bangkok International Film Festival,4
Bergen International Film Festival of NJ,4
Beyond Hollywood International Film Festival,4
Blood in the Snow Canadian Film Festival,4
Boden International Film Festival,4
Bollywood Hungama OTT India Fest,4
Boobs and Blood International Film Festival,4
Boston Underground Film Festival,4
Brive Mid-Length Film Meeting,4
"BronzeLens Film Festival, Atlanta, US",4
CKF International Film Festival,4
CLIMAX Festival Internacional de Cine Independiente,4
CMT Music Awards,4
Calgary International Film Festival,4
California Women's Film Festival,4
Canadian Filmmakers' Festival,4
Chainsaw Game & Music Festival,4
Changchun Film Festival,4
Charlotte Black Film Festival,4
Chicago Cinema Awards,4
Chicago Comedy Film Festival,4
Chicago Horror Film Festival,4
China Film Director's Guild Awards,4
CineLibri International Book and Movie Festival,4
CineRockom International Film Festival,4
Cinema Jove - Valencia International Film Festival,4
City of Angels Film Festival,4
Cognac Festival du Film Policier,4
Coronado Island Film Festival,4
"Critics' Choice Film Awards, India",4
Dallas OUT TAKES,4
Dinard British Film Festival,4
Durban International Film Festival,4
Enginuity Film Festival,4
Entrevues Film Festival,4
Evolution! Mallorca International Film Festival,4
Eyecatcher Film Festival,4
FEST New Directors/New Films Festival,4
Faith in Film - Film Festival,4
Festival 2 Valenciennes,4
Festróia - Tróia International Film Festival,4
Film Arts and Hearts Film Festival,4
"Film Fest International, Milan",4
Film Threat Award This!,4
Filmed in Utah Awards,4
Filmfare Glamour And Style Awards,4
Folkestone Independent Film Awards,4
"Fort Lauderdale International Film Festival, US",4
French Syndicate of Cinema Critics,4
Gawad Urian Awards,4
German Comedy Awards,4
Global Awards,4
Global Independent Film Festival of India,4
Golden Fern Films Award,4
Golden Joystick Awards,4
Golden Lemur International Film Festival,4
"Gopo Awards, Romania",4
Grimmfest,4
"Grove Film Festival, New Jersey",4
Guarnicê de Cinema,4
Gérardmer Film Festival,4
HT Café Film Awards,4
HT India's Most Stylish Awards,4
High Falls Film Festival,4
Hollywood Film Competition,4
Hollywood Independent Music Awards,4
Houston Comedy Film Festival,4
Houston Horror Film Festival,4
India Star International Short Film Festival,4
Indian Film and Television Awards,4
Indie Movies Spark Film Festival,4
International Family Film Festival,4
International Film Festival of India,4
International New York Film Festival,4
International Open Film Festival (IOFF),4
Julien Dubuque International Film Festival,4
Korean Film Actor's Association Awards,4
Korean Film Producers Association Awards,4
L'HIFF - Barcelona International Film Festival,4
"L.A. Neo Noir Novel, Film & Script Festival",4
L.A. Shorts Fest,4
LASCIFI,4
La Cabina Valencia International Medium-Length Film Festival,4
La Roche-sur-Yon International Film Festival,4
Las Vegas Black Film Festival,4
Legionnaires of Laughter Legacy Awards,4
"Lift-Off Film Festival, Los Angeles",4
Lions Gold Awards,4
London Indie Film Festival,4
Long Island Gay and Lesbian Film Festival,4
Los Angeles Cinematography AWARDS (LACA),4
Los Angeles Italian Film Awards,4
Love Your Shorts Film Festival,4
Mammoth Lakes Film Festival,4
Mark Twain Prize for American Humor,4
Mediterranean Film Festival Cannes,4
Mezipatra Queer Film Festival,4
Miami Gay and Lesbian Film Festival,4
Midwest Independent Film Festival,4
Milwaukee Twisted Dreams Festival,4
Mindfield Film Festival Los Angeles,4
Monthly Indie Shorts,4
Moonwhite Films International Film Fest,4
Moscow Indie Film Festival,4
Move Me Productions Belgium Film Festival,4
Málaga Spanish Film Festival,4
"NYC Downtown Short Film Festival, US",4
Naples Film Awards,4
Navy International Film Festival,4
New England Film & Video Festival,4
New Hope Film Festival,4
New York International Women Festival,4
New York Screenplay Contest,4
New York Script Awards,4
New York Television Festival,4
"Nickelodeon Kids Choice Awards, Argentina",4
"Nickelodeon Kids Choice Awards, UK",4
Night of Shorts,4
"Nuremberg Film Festival ""Turkey-Germany""",4
Odesa International Film Festival,4
Ourense Independent Film Festival,4
"Oxford Film Festival, Mississippi, USA",4
Pan African Film Festival,4
Paradise Film Festival,4
"Pasadena International Film Festival, US",4
Philadelphia International Gay & Lesbian Film Festival,4
Philadelphia Latino Film Festival,4
Pinkvilla Style Icons Awards,4
Poombukar Independent Film Festival,4
Portland Comedy Film Festival,4
Portobello Film and Video Festival,4
Portuguese Film Academy Sophia Awards,4
Prémios Fantastic,4
Prêmio Área VIP,4
Puchon International Fantastic Film Festival,4
Qantas Television Awards,4
Queens Film Festival,4
RIP Horror Film Festival,4
Red Rock Film Festival,4
ReelHeART International Film Festival,4
"Retirement Research Foundation, USA",4
Riverside International Film Festival,4
Rose d'Or Light Entertainment Festival,4
Sacramento Film and Music Festival,4
San Diego Comic-Con International Independent Film Festival,4
San Diego International Kids Film Festival,4
San Luis Obispo International Film Festival,4
Sannio FilmFest,4
Santa Monica Film Festival,4
Scotland International Festival of Cinema,4
Screen Nation Awards,4
SeriesFest,4
"Set Decorators Society of America, USA",4
Sheffield International Documentary Festival,4
Silver State Film Festival,4
South Indian International Movie Awards,4
Springtime International Film Festival,4
"Sun Valley Film Festival, US",4
Sydney Indie Film Festival,4
"TP de Oro, Spain",4
Tbilisi International Film Festival,4
The Art of Brooklyn Film Festival,4
The French Duck Film Festival,4
The Richard Harris International Film Festival,4
The Southern California International Film Festival,4
Tokyo Shorts,4
Turia Awards,4
"Underground Cinema Awards, Ireland",4
"Underwire Film Festival, UK",4
Vancouver Independent Film Festival,4
Vancouver International Film Festival,4
Villammare Film Festival,4
WRPN Global Webisode Competition,4
WRPN Woman's International Film Festival,4
Waco Independent Film Festival,4
Westfield International Film Festival,4
Williamsburg International Film Festival,4
Wine Country Film Festival,4
Writers Guild of Canada,4
X World Short Film Festival,4
YTV Achievement Awards,4
Yes! Let's Make A Movie Film Festival,4
Yokohama Film Festival,4
13 Horror,3
300 Seconds Short Film Festival,3
A Night of Horror International Film Festival,3
ADIRCAE Awards,3
APAN Star Awards,3
Absurd Film Festival,3
"Academy of Interactive Arts & Sciences, USA",3
Academy of Motion Picture Arts and Sciences of Argentina,3
Action Icon Awards,3
Adult Video News Awards,3
"Aftonbladet TV Prize, Sweden",3
Albuquerque Film & Music Experience,3
Amazing Fantasy Fest,3
American Cinematheque Gala Tribute,3
Amsterdam Fantastic Film Festival,3
Anaheim International Film Festival,3
Angers European First Film Festival,3
Annual Chinese TV Drama Ceremony,3
Antalya Golden Orange Film Festival,3
Antwerp International Film Festival,3
Apulia Web Fest,3
Art Film Spirit Awards,3
Asheville Film Festival,3
Asian American International Film Festival,3
Asian World Film Festival,3
Aspen Shortsfest,3
Athens International Film Festival,3
Atlanta ShortsFest,3
Audience Awards,3
Audio Verse Awards,3
AudioFile Earphones Award,3
Austin International Art Festival,3
Australian Directors Guild Awards,3
Avanca Film Festival,3
Avignon International Film Festival (AIFF),3
"Awareness Film Festival, CA",3
BAFTA’s Children & Young People Awards,3
BBC Radio 1 Teen Awards,3
Bahamas International Film Festival,3
Barcelona International Film Festival,3
Beijing Student Film Festival,3
Believe Psychology Film Festival,3
Beloit International Film Festival,3
Bengal Film Journalists' Award,3
Berlin Indie Film Festival,3
Bitesize Film Festival,3
Blast Off Film Festival,3
Block Island Film Festival,3
Blue Bird Film Festival,3
Blue Whiskey Independent Film Festival,3
Bogota Film Festival,3
"Boston Science Fiction Film Festival, US",3
Bremen Film Award,3
Brisbane International Film Festival,3
"Broadcast Awards, UK",3
Brooklyn International Film Festival,3
Brussels Film Festival (BRFF),3
Brussels International Festival of Fantasy Film (BIFFF),3
Bucharest ShortCut Cinefest,3
Bucheon International Fantastic Film Festival,3
Byron Bay International Film Festival,3
CPH:DOX,3
"California International Shorts Festival, US",3
California Music Video Awards (CMVA),3
Canada China International Film Festival (CCIFF),3
Canadian Film Awards,3
Canadian Film Fest,3
Canadian International Faith & Family Film Festival,3
Canadian International Film & Video Festival,3
Care Awards,3
"Carlsbad Media Carnival, US",3
Charleston International Film Festival,3
Chautauqua International Film Festival: CIFF,3
Chicago Filmmakers Awards,3
Chicago International Children's Film Festival,3
China Television Director Committee Awards,3
Christian Family Film Festival,3
Cine Sepia Reels Carnival,3
Cine Vista Oasis Film Awards,3
Cinemanila International Film Festival,3
Cinematic European Film Festival,3
Cineport - Portuguese Film Festival,3
Clifton Film Celebration,3
Clown International Film Festival,3
Club Média Ciné,3
Coney Island Film Festival,3
"Connect Film Festival, AUS",3
Curtas Festival do Imaxinario,3
Cutting Edge International Film Festival,3
DEFA Foundation Award (DEFA-Stiftung),3
Dadasaheb Phalke International Film Festival (DPIFF),3
Dances With Films,3
Deep Ellum Film Festival,3
Dhaka International Cultural Film Festival,3
Diamond Bell International Film Festival,3
Directors Cut Int'l Film Festival,3
Dresden Film Festival,3
ECU European Independent Film Festival,3
East Village New York Film Festival,3
East-West: Golden Arch International Film Awards,3
Eastern Oregon Film Festival,3
El Gouna Film Festival,3
El Premio ASCAP,3
Emden International Film Festival,3
"Emerge Film Festival, Maine, US",3
"Environmental Media Awards, USA",3
Equality International Film Festival,3
Ernst Lubitsch Award,3
Etna Comics International Film Festival,3
Europa Film Festival,3
European Cinematography Awards,3
European Independent Film Award,3
European Union MEDIA Prize,3
"FLY Film Festival, US",3
Feedback Female Film Festival (FFFF),3
Festival De Indie,3
Festival International de Film Saint-Jean-de-Luz,3
Festival of Globe,3
Film Festival Oostende,3
FilmCon Awards,3
Filmysea International Film Festival,3
First Run Festival,3
First Youth Film Festival,3
Flagler Film Festival,3
Flathead Lake International Cinemafest,3
Fort Worth Gay and Lesbian International Film Festival,3
Frameline San Francisco International LGBTQ Film Festival,3
Frankly Film Festival,3
Friss Hús Budapest International Short Film Festival,3
Frostbite International Film Festival,3
Fusion Film Festival,3
Gen Art Film Festival,3
Glamour Awards,3
Glasgow Film Festival,3
Global Independent Film Awards,3
Golden Bauhinia Awards,3
"Golden Eagle Awards, China",3
Golden Earth Film Award,3
Golden Giraffe International Film Festival,3
"Golden Goblets, Italy",3
Golden Graals,3
Golden Horse International Film Festival,3
Great Message International Film Festival,3
Great Plains Film Festival,3
Green Ciak Film Awards,3
Green Mountain Film Festival (GMFF),3
Halicarnassus Film Festival,3
Hawaii International Film Awards,3
High Tatras Film & Video Festival,3
Holidays 365 International Film Festival,3
Hollywood Black Film Festival,3
Hollywood Blvd Film Festival,3
Hollywood Florida Film Festival,3
Hollywood Horrorfest,3
Hollywood International Independent Documentary Awards,3
Hollywood Screenings Film Festival,3
Hollywood Script Award,3
Hollywood's Monthly Film Festival,3
HorrOrigins,3
Horrorant Film Festival 'Fright Nights',3
Hot Docs Canadian International Documentary Festival,3
Hot Springs Documentary Film Festival,3
Huelva Latin American Film Festival,3
I See You Awards,3
ITSA Film Festival,3
Iconic Images Film Festival,3
ImagineNative Film + Media Arts Festival,3
Improvisation News New York Awards,3
InShort Film Festival,3
Indian Telly Streaming Awards,3
IndieEye Film Awards,3
IndieLisboa International Independent Film Festival,3
Indo French International Film Festival,3
International Documentary Film Festival Amsterdam (IDFA),3
International Film Festival & Awards Macao,3
International Film Festival Rotterdam,3
International Film Festival for Children and Young Audience SCHLiNGEL,3
International Music Video Underground,3
International Network Film Festival,3
Iris Prize Festival,3
Iron Elephant Film Awards,3
Istanbul Film Awards,3
Istanbul Film Festival,3
Japan Gold Disc Award,3
Jeonju International Film Festival,3
"Jersey Shore Film Festival, US",3
Jules Verne Awards,3
Kalakari Film Fest,3
Korea Drama Awards,3
Krakow Film Festival,3
L'Alfàs del Pi Film Festival,3
L.A. Comedy Film Festival and Screenplay Competition,3
L.A. Indies Awards,3
L.A. Sci-Fi & Horror Festival,3
LA Indies Fest,3
LA Sun Film Fest,3
LA Underground Film Forum,3
Les Arcs European Film Festival,3
"Lift-Off Film Festival, New York",3
Lima Latin American Film Festival,3
London World-Wide Comedy Short Film Festival,3
"Long Beach International Film Festival, New York",3
"Los Angeles Film and Script Festival, US",3
Los Angeles International Underground Film Festival,3
Louisiana International Film Festival,3
Louisville Fright Night Film Fest,3
Louisville's International Festival of Film,3
"Love is Folly International Film Festival, Bulgaria",3
Lucerne International Film Festival,3
Lucky Strike Film Festival,3
Luxembourg City Film Festival,3
MTV MIAW Brazil,3
Makizhmithran International Film Festival,3
Marbella Film Festival,3
Marco Island Film Festival,3
McMinnville Short Film Festival,3
MedFF,3
MegaFlix Movie Awards,3
Melbourne Underground Film Festival,3
MidWest WeirdFest,3
Milan Film Festival,3
Mile High Horror Film Festival,3
Mokkho International Film Festival,3
Mons International Festival of Love Films,3
Monza Film Fest,3
Morelia International Film Festival,3
Mumbai International Film Festival,3
Munich New Wave Short Film Festival,3
My Hero International Film Festival,3
Mystic Film Festival,3
NOLA Horror Film Fest,3
NYC Web Fest,3
Nantes Three Continents Festival,3
Nawada International Film Festival,3
"Nevada International Film Festival, US",3
Nevada Women's Film Festival,3
New Age Cinemas and Scripts,3
New Orleans Horror Film Festival,3
New York City TV Film Festival (NYCTVF),3
New York Latino Film Festival,3
Newark International Film Festival,3
"Newport International Film Festival, Rhode Island",3
Niagara Falls International Film Festival,3
Nieves International Christian Film Festival,3
Noor Iranian Film Festival,3
OTTplay Awards,3
One Voice Awards,3
Onyko Films Awards,3
"Oregon International Film Awards, US",3
Oregon Screams Horror Film Festival,3
PEN Center USA West Literary Awards,3
PRODU Awards,3
Page Turner Screenplays,3
Paris Cinema,3
Paris International Short Festival,3
Paris Short Film Awards,3
Paulínia Film Festival,3
Peak City International Film Festival,3
Phoenix Comicon Film Festival,3
Planet Cinema,3
Pogo Amazing Kids Awards,3
Polish Film Festival in Los Angeles,3
Poppy Jasper Film Festival,3
Port Townsend Film Festival,3
Portland MovieMakers Award,3
Portsmouth International Film Festival,3
Prague International Indie Film Festival,3
"Premios Canacine, MX",3
Prix Europa,3
Prix Jean Gabin,3
Pula Film Festival,3
Queens Underground International Film Festival,3
Queer Lisboa - Festival Internacional de Cinema Queer,3
RIMA - Rio de Janeiro International BI-Monthly Awards,3
Radio Times Awards,3
Red Dragon Creative Awards,3
Religious Faith International Film Festival,3
Rencontres Internationales du Cinema des Antipodes,3
Revolution Me Film Festival,3
"Rome International Film Festival, USA",3
Rome International Short Festival,3
Royal Starr Film Festival,3
Salerno International Film Festival,3
San Francisco Arthouse Short Festival,3
San Francisco Fearless Tales Genre Fest,3
San Francisco Indie Short Festival,3
Santa Monica Independent Film Festival,3
Schwerin Art of Film Festival,3
"Sci-Fi Universe Magazine, USA",3
Screen Power Film Festival,3
Shorts Mexico,3
Sick Chick Flicks Film Festival,3
Silver Mask Film Festival,3
Silver Wave Film Festival,3
Sochi International Film Festival,3
South African Independent Film Festival,3
South Asian International Film Festival,3
South Dakota Film Festival,3
South Europe International Film Festival,3
South Texas International Film Festival,3
Southern States Indie Film Fest,3
St. Kilda Film Festival,3
St. Tropez International Film Festival,3
Star Parivaar Awards,3
Stories by the River Film Festival,3
"Student Academy Awards, USA",3
Sunscreen Film Festival West,3
Svendborg Film Festival,3
Tabloid Witch Awards,3
Taipei Film Festival,3
"The 48 Hour Film Project, San Diego",3
The Kodak Film Awards,3
The Scottish Short Film Festival,3
The Seoul Awards,3
Thrills And Chills Film Awards,3
Tokyo Anime Award,3
Torino International Festival of Young Cinema,3
Toronto After Dark Film Festival,3
Toronto Film and Script Awards,3
"Toronto Independent Film Festival, CA",3
Toronto International Women Film Festival,3
Transilvania International Film Festival,3
Tromsø International Film Festival,3
Tropfest,3
Tweetfest Film Festival,3
US Hollywood International Film Festival,3
Unforgettable Gala,3
United Nations Association Film Festival,3
Utopiales: The Nantes International Science Fiction Film Festival,3
VC FilmFest - Los Angeles Asian Pacific Film Festival,3
Valdivia International Film Festival,3
Vega Digital Awards,3
Venus Community Awards,3
Vesoul Asian Film Festival,3
Voghera Film Festival,3
Vogue Beauty Awards,3
White Unicorn International Film Festival,3
Wildflower Film Awards,3
Winnipeg Real to Reel Film Festival,3
Winter Film Awards,3
Wreak Havoc Horror Film Festival,3
Yosemite International Film Festival,3
Z-Fest Film Festival,3
Zinegoak Bilbao International GLT Film Festival,3
15 Minutes of Fame Film Festival,2
48 Hour Film Project - New Orleans,2
48FILM Festival,2
50-Fifty Reel Challenge,2
A Place Called Sacramento Film Festival,2
A shaded view on fashion film,2
Aab International Film Festival (AIFF),2
Action/Adventure Screenplay Festival,2
Adelaide Film Festival,2
Aesthetica Short Film Festival,2
Alaska International Film Awards,2
All Sports Los Angeles Film Festival,2
Almería International Film Festival,2
American Conservation Film Festival,2
American Film Festival,2
"American Screenwriters Association, USA",2
Anchorage International Film Festival,2
Angel Awards,2
"Animayo:The International Film Festival of Animation, Visual Effects and Video Games",2
Another Hole in the Head Genre Film Festival,2
Anthem Awards,2
Aphrodite Film Awards,2
Ariano International Film Festival,2
Arizona International Film Festival,2
"Arts and Entertainment Critics Awards, Chile",2
Asian Academy Creative Awards,2
Asian Film Festival Barcelona,2
Asian Television Awards,2
Athena Film Festival,2
Atlantic City Film Festival,2
Atlantic Film Festival,2
Atlántida Film Fest,2
Austin Arthouse Film Festival,2
Austin Comedy Film Festival,2
Australian Comedy Awards,2
Australian Screen Sound Guild,2
Australians in Film Awards,2
Auteur Film Festival,2
Avellino Neorealism Film Festival,2
B-Movie Film Festival,2
BANFF World Media Festival / Rockie Awards,2
BIG Life OK Now Awards,2
BRAFFTV - Brazilian Film & Television Festival of Toronto,2
Bandung Film Festival,2
Barcelona Film Awards,2
Barcelona Indie Awards,2
Bath Film Festival,2
BestFest America Student Film Festival,2
Beyond Border International Film Festival,2
Bilbao International Festival of Documentary and Short Films,2
Billy the Kid Film Festival,2
"Black Canadian Award, CA",2
Blackbird Film Festival,2
Blackboard International Film Festival,2
BlastOff,2
Blue Water Film Festival,2
Bollywood Hungama Surfers' Choice Movie Awards,2
Bridges International Film Festival,2
Bright International Film Festival,2
Broad Humor,2
Brussels Capital Film Festival,2
Brussels European Film Festival,2
Brussels International Film Festival (BRIFF),2
Buffalo International Film Festival,2
Burbank International Children's Film Festival,2
Busan International Kids and Youth Film Festival,2
"Busho, Budapest International Short Film Festival",2
Bushwick Film Festival,2
C21's International Drama Awards,2
CMS ICFF International Children's Film Festival,2
California Indies,2
Canadian International Fashion Film Festival,2
Cannes Film Awards,2
Cannes Film Festival Emerging Filmmaker Showcase,2
Cannes Short Film Festival,2
"Carmarthen Bay Film Festival, UK",2
Carmel International Film Festival,2
Carolina Film & Video Festival,2
Carthage Film Festival,2
Casting Guild of Australia Awards,2
Castrovillari Film Festival,2
Central Florida CineFest,2
Centre for Media and Celebrity Studies (CMCS) Festival,2
Chambal International Film Festival,2
Cherbourg-Octeville Festival of Irish & British Film,2
Chesapeake Film Festival,2
Chhatrapati Shivaji International Film Festival,2
Chicago Southland International Film Festival,2
China Movie Channel Award,2
Chinh India Kids Film Festival,2
Ciclope International Festival of Craft,2
Cine Ceará - Ibero-american Film Festival,2
Cine del Mar International Film Festival - Uruguay,2
Cinefan - Festival of Asian and Arab Cinema,2
Cinema Carnival Film Festival,2
Cinema at the Edge Independent Film Festival,2
Cinemafest,2
Cinemagic International Film and Television Festival for Young People,2
Cinemalaya Independent Film Festival,2
Cineplay International Film Festival,2
Cineverse International Film Festival,2
Colorado International SciFi & Fantasy Film Festival,2
Colors Golden Petal Awards,2
ConCarolinas Short Film Festival,2
Continental Film Festival,2
Copenhagen International Film Festival,2
Cork International Film Festival,2
Crimson Screen Horror Film Fest,2
DIGITAL CREATION GENIE AWARDS,2
DMZ International Documentary Film Festival,2
Dahlonega International Film Festival,2
Dark Comedy Film Festival,2
David Film Festival,2
Diamond Film Awards,2
Discover Film London Festival,2
Diversity in Media Awards,2
