award_show,count
NAMIC Vision Awards,59
Seattle International Film Festival,59
Atlanta Film Critics Circle,58
Children's & Family Emmy Awards,58
Critics Association of Central Florida Awards,56
Indie Series Awards,56
Sunset Film Circle Awards,56
Young Entertainer Awards,56
Acapulco Black Film Festival,55
German Television Awards,55
Maverick Movie Awards,55
Prêmio Guarani,55
Locarno Film Festival,54
The Webby Awards,54
Chicago Independent Film Critics Circle Awards,53
iHeartRadio Much Music Video Awards,53
Soap Opera Digest Awards,52
MovieGuide Awards,51
Russian Guild of Film Critics,51
Top Indie Film Awards,51
World Soundtrack Awards,51
American Indian Film Festival,50
Deauville Film Festival,50
Digital Spy Reader Awards,50
Elle Women in Hollywood Awards,50
Gracie Allen Awards,50
Hamptons International Film Festival,50
"Romy Gala, Austria",50
Tribeca Film Festival,50
WorldFest Houston,50
Rondo Hatton Classic Horror Awards,49
German Screen Actors Awards,48
Grimme Award,48
"National Film and Television Awards, USA",48
Toronto International Film Festival,48
"Cinema Bloggers Awards, Portugal",47
"Crime Thriller Awards, UK",47
Gotham TV Awards,47
Guinness World Record Award,47
MTV Video Music Awards Japan,47
Fantasporto,46
Hollywood Gold Awards,46
New York International Film Awards,46
Stockholm Film Festival,46
Camerimage,45
"Hasty Pudding Theatricals, USA",45
Peabody Awards,45
USC Scripter Award,45
Festigious International Film Festival,44
FilmQuest,44
Florence Film Awards,44
Newport Beach Film Festival,44
"Ariel Awards, Mexico",43
Christopher Awards,43
Valladolid International Film Festival,43
International Emmy Awards,42
Critics Choice Awards Celebration of Cinema & Television,41
Gijón International Film Festival,41
Humanitas Prize,41
"Prêmio Contigo, Brazil",41
Art Directors Guild,40
British Comedy Awards,40
"Cinema Writers Circle Awards, Spain",40
Independent Horror Movie Awards,40
Method Fest,40
Awards of the Israeli Film Academy,39
Críticos de Cinema Online Portugueses Awards,39
Family Film Awards,39
Golden Apple Awards,39
"National Television Awards, UK",39
New Zealand Film and TV Awards (I),39
"Northeast Film Festival, US",39
"SFX Awards, UK",39
Soul Train Awards,39
"World Film Carnival, Singapore",39
Cahiers du Cinéma,38
Goya Awards,38
International Christian Film Festival,38
Asian Film Awards,37
Guldbagge Awards,37
IMDb STARmeter Awards,37
International Documentary Association,37
Karlovy Vary International Film Festival,37
New York International Independent Film & Video Festival,37
Polish Film Awards,37
Sports Emmy Awards,37
BAFTA/LA Britannia Awards,36
Blue Dragon Awards,36
Casting Society (CSA),36
Cinema for Peace Awards,36
Fotogramas de Plata,36
"Globes de Cristal Awards, France",36
MOBO Awards,36
NRJ Ciné Awards,36
Athens International Monthly Art Film Festival,35
Costume Designers Guild Awards,35
Guild of Music Supervisors Awards,35
"Motion Picture Sound Editors, USA",35
"Screen Awards, IN",35
German Film Critics Association Awards,34
Golden Kite Awards (China),34
New York Film Awards,34
Rome International Movie Awards,34
Taormina International Film Festival,34
"The Joey Awards, Vancouver",34
The Streamy Awards,34
Billboard Music Awards,33
Mexican Cinema Journalists,33
New York Movie Awards,33
The Ambies,33
BloodGuts UK Horror Awards,32
Munich Film Festival,32
"Actors Awards, Los Angeles",31
Baek Sang Art Awards,31
Crown Point International Film Festival,31
Ft. Lauderdale International Film Festival,31
Heartland Film,31
Hollywood Blood Horror Festival,31
New Zealand Film and TV Awards (II),31
South African Film and Television Awards,31
Zurich Film Festival,31
ASCAP Film and Television Music Awards,30
British Soap Awards,30
Global Film Festival Awards,30
IF Awards,30
LA Web Fest,30
Paris Film Awards,30
Phoenix Film Festival,30
Rembrandt Awards,30
Women in Film Crystal Awards,30
Critics' Choice Documentary Awards,29
Denver Film Festival,29
Kinema Junpo Awards,29
Mar del Plata International Film Festival,29
Montréal World Film Festival,29
"Prêmio Qualidade, Brazil",29
Rome Prisma Independent Film Awards,29
Bavarian Film Awards,28
Film Club's The Lost Weekend,28
International Independent Film Awards,28
Queen Palm International Film Festival,28
São Paulo Association of Art Critics Awards,28
Virgin Spring Cinefest,28
AltFF Alternative Film Festival,27
Astra Midseason Movie Awards,27
Bavarian TV Awards,27
Black Movie Awards,27
Calcutta International Cult Film Festival,27
Canadian Comedy Awards,27
"Cinema Eye Honors Awards, US",27
"FilmOut San Diego, US",27
International Film Music Critics Award (IFMCA),27
Science Fiction and Fantasy Writers of America,27
TV Choice Awards UK,27
Tagore International Film Festival,27
"BAFTA Awards, Wales",26
Boston Film Festival,26
Edinburgh International Film Festival,26
GLAAD Media Awards,26
Internet Film Critic Society,26
"National Movie Awards, UK",26
OTB - Only The Best International Film Awards,26
Telluride Film Festival,26
The Kennedy Center Honors,26
Asian Film Critics Association Awards,25
Couch Film Festival,25
"FANtastic Horror Film Festival, San Diego",25
Five Continents International Film Festival,25
"Independent Filmmakers Showcase IFS Film Festival, US",25
Irina Palm d'Or,25
Make-Up Artists & Hair Stylists Guild Awards,25
Milan Gold Awards,25
Mindfield Film Festival Albuquerque,25
Telly Awards,25
"Undine Awards, Austria",25
Apolo Awards,24
Brit Awards,24
German Television Academy Awards,24
"Global Shorts, Los Angeles",24
"Kosmorama, Trondheim Internasjonale Filmfestival",24
"American Society of Cinematographers, USA",23
Asia Pacific Screen Awards,23
FOI Online Awards,23
FilmHaus: Berlin Film + New Media Competition,23
Golden Ciak Awards,23
L'Association des Critiques de Séries,23
Los Angeles Independent Film Festival Awards,23
Mill Valley Film Festival,23
Nashville Film Festival,23
Southern Shorts Awards,23
Star Eminence Awards,23
iHorror Awards,23
Brightside Tavern Film Festival,22
Culver City Film Festival,22
Filmfare Awards,22
GenreBlast Film Festival,22
Ghent International Film Festival,22
Lonely Wolf International Film Festival,22
"MTV Movie Awards, Mexico",22
MTV TRL Awards,22
"Madrid International Film Festival, ES",22
New Jersey Film Critics Circle Awards,22
New York Women in Film & Television,22
"Prêmio Contigo Cinema, Brazil",22
Shorty Awards,22
Spike Video Game Awards,22
"TV Quick Awards, UK",22
Texas Film Awards,22
Tokyo International Film Festival,22
World Music and Independent Film Festival,22
Zee Cine Awards,22
"American Cinema Editors, USA",21
Astra Creative Arts Awards,21
Buil Film Awards,21
Burbank International Film Festival,21
CMA Awards - Country Music Association,21
"Cinema Audio Society, USA",21
Frida Film Festival,21
Gold List,21
"Golden Globes, Italy",21
"Golden Hen Awards, Germany",21
Golden Horse Film Festival,21
"Grand Bell Awards, South Korea",21
Lisbon Film Festival (LEFFEST),21
Melhores do Ano,21
Oldenburg Film Festival,21
Prêmio F5,21
Septimius Awards,21
Seville European Film Festival,21
The Indie Gathering International Film Festival,21
World Film Festival in Cannes,21
Writers' Guild of Great Britain,21
Academy of Country Music Awards,20
Awards of the International Indian Film Academy (IIFA),20
Awards of the Japanese Academy,20
Beverly Hills Film Festival,20
Beyond the Curve International Film Festival,20
Chunsa Film Art Awards,20
Dublin International Film Festival,20
Edgar Allan Poe Awards,20
Hollywood Reel Independent Film Festival,20
Hong Kong Film Awards,20
Seattle Film Festival,20
South Film and Arts Academy Festival,20
"Stardust Awards, India",20
TV Times Awards,20
The Platino Awards for Iberoamerican Cinema,20
AAFCA TV Honors,19
Austin Film Festival,19
BET Comedy Awards,19
Cinequest San Jose Film Festival,19
Depth of Field International Film Festival Competition,19
Garden State Film Festival,19
Juno Awards,19
Miami Film Festival,19
Mystfest,19
New Jersey Film Awards,19
One-Reeler Short Film Competition,19
"AFI Awards, USA",18
ARIA Music Awards,18
Astra Awards,18
Blue Ribbon Awards,18
British Independent Film Festival,18
Christian Film Festival-Menchville Baptist Church,18
Cleveland International Film Festival,18
Dreamz Catcher International Film Festival,18
Giffoni Film Festival,18
ICG Publicists Awards,18
Kosice International Monthly Film Festival,18
Latin Grammy Award,18
London Movie Awards,18
Milano International Film Festival Awards (MIFF Awards),18
Moscow International Film Festival,18
NRJ Music Awards,18
Polish Film Festival,18
"San Diego Film Awards, US",18
Seoul International Drama Awards,18
Thessaloniki Film Festival,18
Torino Film Festival,18
"ACIE Awards, Brazil",17
American Television Awards,17
Apsara Film Producers Guild Awards,17
Asians On Film Festival,17
Avoriaz Fantastic Film Festival,17
Brazil International Monthly independent Film Festival,17
Cult Critic Movie Awards,17
Golden Boot Awards,17
"Golden Eagle Awards, Russia",17
Hawaii International Film Festival,17
Hochi Film Awards,17
Hollywood International Golden Age Festival,17
Northern Virginia International Film and Music Festival,17
Premios ACE,17
"Red Dirt International Film Festival, US",17
Riviera International Film Festival,17
Rome Film Fest,17
Soap Hub Award,17
Society of Composers and Lyricists Awards,17
Society of Texas Film Critics Awards,17
Wild Bunch Film Festival,17
All Def Movie Awards,16
"American Film Institute, USA",16
Awards of the Israeli Television Academy,16
Biarritz International Festival of Audiovisual Programming,16
Character and Morality in Entertainment Awards,16
Film Society of Lincoln Center,16
Focus International Film Festival,16
"Hang Onto Your Shorts Film Festival, NJ",16
Hoboken International Film Festival,16
Marrakech International Film Festival,16
Middleburg Film Festival,16
New Media Film Festival,16
Provincetown International Film Festival,16
Rhode Island International Film Festival,16
San Francisco International Film Festival,16
SoHo International Film Festival,16
Sunny Side Up Film Festival,16
USA Film Festival,16
Woods Hole Film Festival,16
America's Rainbow Film Festival (ARFF),15
Americana Film Fest,15
Art Film Awards,15
Austin Revolution Film Festival,15
California Independent Film Festival,15
Clermont-Ferrand International Short Film Festival,15
"Extra Television Awards, Brazil",15
Golden Carp Film Award,15
Golden Door International Film Festival of Jersey City,15
Golden Scythe Horror Awards,15
"Guardian Film Awards, UK",15
Helpmann Awards,15
"Indian Television Academy Awards, India",15
Jutra Awards,15
LIFT-Off Sessions Online,15
Los Angeles Film Festival,15
MTV Asia Awards,15
Mainichi Film Concours,15
"New Faces Awards, Germany",15
"New York City International Film Festival, US",15
New Zealand Screen Awards,15
Reale Film Festival,15
Roshani International Film Festival,15
The Shawna Shea Film Festival,15
"UBCP/ACTRA Awards, Vancouver",15
Vesuvius International Film Festival,15
Warsaw International Film Festival,15
1st Monthly Film Festival,14
American Film Awards,14
Australian Writers' Guild,14
BMI Film & TV Awards,14
Best Film Awards,14
Bollywood Film Journalist Awards,14
CINE Competition,14
Cal Film Festival,14
Film by the Sea International Film Festival,14
Gramado Film Festival,14
Hessian TV Award,14
Hollywood Dreamz International Film Festival and Writers' Celebration,14
Laughlin International Film Festival,14
Lone Star Film & Television Awards,14
Long Island International Film Expo,14
"Magritte Awards, Belgium",14
Marina del Rey Film Festival,14
Montreal Independent Film Festival,14
Paris Film Festival,14
Pittsburgh Film Critics Association Awards,14
Rio de Janeiro International Film Festival,14
RiverRun International Film Festival,14
Sarasota Film Festival,14
Shanghai International Film Festival,14
Spanish Actors Union,14
"Troféu Imprensa, Brazil",14
US Comedy Arts Festival,14
Unrestricted View Film Festival,14
Zed Fest Film Festival,14
Zulu Awards,14
Alberta Film & Television Awards (AMPIA Awards),13
American Movie Awards,13
Bram Stoker Awards,13
Cabourg Romantic Film Festival,13
CineFest - Miskolc International Film Festival,13
Content Film Festival & Media Summit,13
Czech Lions,13
Feel The Reel International Film Festival,13
Fox International Film Festival,13
Golden Panda Awards,13
Golden Rooster Awards,13
Great Lakes Christian Film Festival,13
LA Live Film Festival,13
"Los Angeles Movie Awards, US",13
Namur International Festival of French-Speaking Film,13
NewFilmmakers Los Angeles,13
Nika Awards,13
North Hollywood Cinefest,13
"Order of Arts and Letters, France",13
Prague International Monthly Film Festival,13
"Richard Attenborough Film Awards, UK",13
San Diego International Film Festival,13
"Shockfest Film Festival, US",13
São Paulo International Film Festival,13
Tallinn Black Nights Film Festival,13
Utah Film Festival,13
"Étoiles d'Or, France",13
4th Dimension International Film Festival,12
Around International Film Festival,12
"Austrian Film Award, AT",12
Best Actor Award,12
Bollywood Awards,12
Breckenridge Festival of Film,12
British Film Institute Awards,12
British Society of Cinematographers,12
Catalina Film Festival,12
Cordillera International Film Festival,12
Critics' Choice Real TV Awards,12
DOC LA,12
DRUK International Film Festival,12
Dreamachine International Film Festival,12
ESPY Awards,12
EdiPlay International Film Festival,12
Eurasia International Monthly Film Festival,12
"Film Fest International, London",12
Filming Italy Sardegna Festival,12
First Americans in the Arts Awards,12
"Fort Worth Indie Film Showcase, US",12
Future of Film Awards,12
Guenter Rohrbach Filmpreis,12
Hispanic Heritage Awards,12
HollyShorts Film Festival,12
I Talk Telly Awards,12
Indie Cine Tube Awards,12
Inside Soap Award,12
International Gold Awards,12
Ischia Global Film & Music Festival,12
Just for Laughs Comedy Festival,12
"Kids' Choice Awards, Australia",12
Le Gala Quebec Cinema,12
Los Angeles Motion Picture Festival,12
New Bedford Film Festival,12
New York Independent Cinema Awards,12
Oregon Short Film Festival,12
Orlando Film Festival,12
Philadelphia Film Festival,12
Playhouse West Film Festival - Los Angeles,12
Premios Juventud,12
Royal Wolf Film Awards,12
SENSEI FilmFest,12
Series Em Cena Awards,12
St. Louis International Film Festival,12
Urban Action Showcase And Expo,12
YouTube Creator Awards,12
ASECAN,11
Alternative Film Festival,11
American Black Film Festival,11
Ashland Independent Film Festival,11
Atlantic City Cinefest,11
"BIG Star Entertainment Awards, India",11
"Beaufort International Film Festival, US",11
Best Actor & Director Awards,11
Billboard Latin Music Awards,11
Bollywood Life Awards,11
Boston International Film Festival,11
Directors Guild of Canada,11
Dragon Awards,11
Essence Black Women in Hollywood,11
Filmfare OTT Awards,11
GQ Men of the Year Awards,11
Girona Film Critics,11
IWM Digital Awards,11
IndieWise Film Festival,11
Jerusalem Film Festival,11
KBS Drama Awards,11
Lady Filmmakers Film Festival,11
Los Angeles Cinefest,11
Macabre Faire Film Festival,11
Macau International Movie Festival,11
Mammoth Film Festival,11
NCLR Bravo Awards,11
NZ Web Fest,11
Napa Valley Film Festival,11
NewNowNext Awards,11
"Nickelodeon Kids Choice Awards, Mexico",11
"Oceanside International Film Festival, US",11
Overcome Film Festival,11
"Philadelphia Independent Film Festival, US",11
Raindance Film Festival,11
Robinson Film Awards,11
Sedona International Film Festival,11
Society of Camera Operators,11
Sweden Film Awards,11
"The 48 Hour Film Project, Los Angeles",11
The Monkey Bread Tree Film Awards,11
The Monthly Film Festival (TMFF),11
The Short Film Awards,11
"Twin Cities Film Fest, US",11
Woodstock Film Festival,11
12 Months Film Festival,10
"168 Film Festival, US",10
AFI Fest,10
Asia-Pacific Film Festival,10
Assurdo Film Festival,10
Athvikvaruni International Film Festival,10
Big Apple Film Festival and Screenplay Competition,10
"British Horror Film Festival, UK",10
Buffalo Dreams Fantastic Film Festival,10
Canada's Walk of Fame,10
Cobb International Film Festival,10
Cowpokes Int'l Film Festival,10
Crown Wood International Film Festival,10
Director's Cut Awards,10
Dubai Independent Film Festival,10
European Cinematography Awards (ECA),10
"FirstGlance Film Festival, Philadelphia",10
Flicks Film Festival,10
Guadalajara International Film Festival,10
Heartland International Film Festival,10
Horrorhound Film Festival (H2F2),10
Impact Docs Awards,10
Indian Telly Awards,10
International Iconic Awards,10
Korean Association of Film Critics Awards,10
Krimson Horyzon International Film Festival,10
