title,url,year,critics_choice_nom,critics_choice_win,bafta_nom,bafta_win,golden_globes_nom,golden_globes_win,pga_nom,pga_win,sag_nom,sag_win,oscar_win,cast_row_count,maj_academy_awards_usa_noms,maj_academy_awards_usa_wins,maj_bafta_awards_noms,maj_bafta_awards_wins,maj_golden_globes_usa_noms,maj_golden_globes_usa_wins,maj_actor_awards_noms,maj_actor_awards_wins,maj_directors_guild_of_america_usa_noms,maj_directors_guild_of_america_usa_wins,maj_writers_guild_of_america_usa_noms,maj_writers_guild_of_america_usa_wins,maj_pga_awards_noms,maj_pga_awards_wins,maj_critics_choice_awards_noms,maj_critics_choice_awards_wins,maj_film_independent_spirit_awards_noms,maj_film_independent_spirit_awards_wins,maj_satellite_awards_noms,maj_satellite_awards_wins,grp_prediction_online_noms,grp_prediction_online_wins,grp_us_regional_critics_noms,grp_us_regional_critics_wins,grp_national_critics_noms,grp_national_critics_wins,grp_international_film_noms,grp_international_film_wins,grp_major_festival_noms,grp_major_festival_wins,grp_television_noms,grp_television_wins,grp_audience_pop_noms,grp_audience_pop_wins,grp_genre_noms,grp_genre_wins,grp_voice_or_animation_noms,grp_voice_or_animation_wins,grp_negative_noms,grp_negative_wins,grp_other_noms,grp_other_wins
Emilia Pérez,https://www.imdb.com/title/tt20221436/?ref_=ev_csegosc_nom,2025,1,0,1,0,1,1,1,0,1,0,0,61,1,1,2,1,7,1,9,2,0,0,0,0,2,0,4,3,0,0,6,2,28,3,30,11,9,5,3,4,1,31,33,10,58,14,4,1,4,0,2,0,140,93
Nickel Boys,https://www.imdb.com/title/tt23055660/?ref_=ev_csegosc_nom,2025,1,0,0,0,1,0,0,0,0,0,0,60,1,0,1,0,1,0,9,2,0,0,0,0,0,0,5,0,3,0,3,1,9,0,31,11,6,4,0,1,1,13,22,6,9,1,2,0,0,0,0,0,35,15
A Complete Unknown,https://www.imdb.com/title/tt11563598/?ref_=ev_csegosc_nom,2025,1,0,1,0,1,0,1,0,1,0,0,134,7,0,6,0,9,1,27,3,0,0,0,0,0,0,10,0,5,2,10,2,33,11,123,54,24,14,7,0,12,36,34,3,16,5,14,1,3,4,0,0,75,56
I'm Still Here,https://www.imdb.com/title/tt14961016/?ref_=ev_csegosc_nom,2025,0,0,0,0,0,0,0,0,0,0,0,71,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,7,1,1,4,2,0,0,9,50,15,6,0,0,1,0,0,0,0,0,141,114
Oppenheimer,https://www.imdb.com/title/tt15398776/?ref_=ev_csegosc_nom,2024,1,1,1,1,1,1,1,1,1,1,1,162,16,7,19,9,24,11,27,17,1,0,2,0,4,0,23,7,7,4,23,9,147,47,234,126,56,33,41,21,76,180,96,31,77,9,38,16,10,5,9,0,264,191
Barbie,https://www.imdb.com/title/tt1517268/?ref_=ev_csegosc_nom,2024,1,0,0,0,0,0,1,0,1,0,0,199,16,4,31,9,26,2,34,3,1,0,2,1,4,4,21,6,7,3,23,6,114,18,197,66,33,19,27,14,13,37,120,44,91,17,14,4,14,2,10,0,253,140
Killers of the Flower Moon,https://www.imdb.com/title/tt5537002/?ref_=ev_csegosc_nom,2024,1,0,1,0,1,0,1,0,1,0,0,260,18,2,15,1,15,6,18,7,5,0,3,1,6,2,18,4,8,3,13,8,102,25,228,102,64,44,22,4,63,123,82,32,52,10,31,9,0,0,5,1,262,204
Poor Things,https://www.imdb.com/title/tt14230458/?ref_=ev_csegosc_nom,2024,1,0,1,0,0,0,1,0,0,0,0,57,11,1,10,1,14,3,13,4,1,0,1,1,3,0,17,1,6,4,8,5,79,12,209,75,38,17,11,3,4,41,57,13,23,4,15,4,3,0,2,0,124,91
The Holdovers,https://www.imdb.com/title/tt14849194/?ref_=ev_csegosc_nom,2024,1,0,1,0,0,0,1,0,0,0,0,78,2,1,2,1,1,4,5,4,0,0,0,0,0,0,3,4,2,3,3,4,27,4,64,62,11,18,1,0,9,24,20,12,3,0,2,1,0,0,0,0,35,44
Anatomy of a Fall,https://www.imdb.com/title/tt17009710/?ref_=ev_csegosc_nom,2024,0,0,1,0,1,0,1,0,0,0,0,49,1,1,2,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,18,2,46,11,8,3,12,11,18,31,3,2,0,0,1,1,0,0,0,0,60,39
Past Lives,https://www.imdb.com/title/tt13238346/?ref_=ev_csegosc_nom,2024,1,0,0,0,1,0,1,0,0,0,0,37,0,0,1,0,1,0,3,0,0,0,0,0,0,0,1,0,2,1,1,0,8,0,29,1,4,0,0,0,5,10,7,3,1,0,3,1,0,0,0,0,36,10
Maestro,https://www.imdb.com/title/tt5535276/?ref_=ev_csegosc_nom,2024,1,0,0,0,1,0,1,0,0,0,0,92,9,0,8,1,11,1,15,1,2,0,4,1,4,0,11,1,3,2,14,1,43,11,140,53,29,8,18,3,39,70,37,22,27,9,2,3,2,3,0,1,141,125
The Zone of Interest,https://www.imdb.com/title/tt7160372/?ref_=ev_csegosc_nom,2024,0,0,0,0,1,0,1,0,0,0,0,66,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,1,26,7,5,2,4,3,2,6,3,2,0,0,1,0,0,0,0,0,34,19
American Fiction,https://www.imdb.com/title/tt23561236/?ref_=ev_csegosc_nom,2024,1,0,0,0,0,0,1,0,1,0,0,61,2,0,0,0,7,3,23,0,0,0,1,1,0,1,9,0,5,2,8,1,27,9,35,12,8,2,1,0,3,10,69,16,50,10,5,1,5,0,0,0,56,34
Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/?ref_=ev_csegosc_nom,2023,1,1,1,0,1,0,1,1,1,1,1,44,5,7,9,1,11,3,29,18,0,1,0,1,0,1,7,4,3,6,10,2,40,20,120,125,15,19,6,0,15,36,15,24,17,8,18,7,11,4,0,0,155,164
Elvis,https://www.imdb.com/title/tt3704428/?ref_=ev_csegosc_nom,2023,1,0,1,0,1,0,1,0,0,0,0,223,5,2,8,1,4,3,17,4,0,0,0,0,0,4,9,1,1,0,5,2,39,7,112,39,16,12,20,9,15,40,40,13,34,11,17,1,2,1,2,4,116,101
Top Gun: Maverick,https://www.imdb.com/title/tt1745960/?ref_=ev_csegosc_nom,2023,1,0,0,0,1,0,1,0,0,0,0,98,8,1,4,1,9,6,15,1,0,0,2,0,4,2,8,3,2,0,12,4,28,11,26,12,9,7,2,3,19,19,46,13,26,9,19,2,1,0,10,3,65,74
The Banshees of Inisherin,https://www.imdb.com/title/tt11813216/?ref_=ev_csegosc_nom,2023,1,0,1,0,1,1,1,0,1,0,0,21,4,0,6,2,8,2,8,0,0,0,0,0,0,0,4,0,1,0,8,1,34,6,99,47,15,19,21,5,1,14,33,9,9,2,4,3,2,0,2,1,55,16
The Fabelmans,https://www.imdb.com/title/tt14208870/?ref_=ev_csegosc_nom,2023,1,0,0,0,1,1,1,0,1,0,0,83,12,1,7,0,14,2,14,2,1,0,2,0,2,0,8,3,10,4,7,1,76,8,105,35,28,17,6,3,31,41,33,9,15,0,20,11,0,1,3,0,95,85
Tár,https://www.imdb.com/title/tt14444726/?ref_=ev_csegosc_nom,2023,1,0,1,0,1,0,1,0,0,0,0,260,5,1,5,2,6,3,11,2,0,0,0,0,1,0,4,2,3,3,5,4,42,9,72,67,25,23,16,9,8,30,35,8,11,0,13,3,5,1,2,0,98,87
